	Kingdom	Kingdom confidence	Phylum	Phylum confidence	Class	Class confidence	Order	Order confidence	Family	Family confidence	Genus	Genus confidence
Otu55	Bacteria	100	Firmicutes	82	Clostridia	73	Clostridiales	73	Tissierellaceae	29	Sporanaerobacter	27
Otu108	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Clostridium XlVa	43
Otu49	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	98	Flintibacter	51
Otu91	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Peptoniphilaceae	100	Finegoldia	100
Otu131	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	99	Ruminococcus2	19
Otu137	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Agathobacter	24
Otu198	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	100	Dysosmobacter	96
Otu172	Bacteria	100	Firmicutes	99	Clostridia	99	Clostridiales	99	Lachnospiraceae	93	Sellimonas	35
Otu138	Bacteria	100	Actinobacteria	100	Actinobacteria	100	Micrococcales	100	Microbacteriaceae	100	Curtobacterium	63
Otu171	Bacteria	100	Proteobacteria	100	Alphaproteobacteria	100	Rhodospirillales	100	Reyranellaceae	100	Reyranella	100
Otu170	Bacteria	100	Firmicutes	99	Clostridia	98	Clostridiales	97	Lachnospiraceae	88	Clostridium XlVb	60
Otu213	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	96	Massiliimalia	33
Otu219	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	99	Caproiciproducens	57
Otu191	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Muricomes	11
Otu217	Bacteria	100	Firmicutes	99	Clostridia	99	Clostridiales	99	Lachnospiraceae	94	Lachnospira	23
Otu199	Bacteria	100	Firmicutes	99	Clostridia	99	Clostridiales	99	Lachnospiraceae	93	Ruminococcus2	9
Otu132	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Mediterraneibacter	36
Otu103	Bacteria	100	Proteobacteria	100	Alphaproteobacteria	100	Rhodobacterales	100	Rhodobacteraceae	100	Paracoccus	98
Otu72	Bacteria	100	Proteobacteria	100	Betaproteobacteria	100	Nitrosomonadales	80	Sterolibacteriaceae	80	Methyloversatilis	80
Otu149	Bacteria	100	Firmicutes	92	Clostridia	87	Clostridiales	87	Clostridiales_Incertae Sedis XIII	15	Ihubacter	8
