LWR	fract	aLWR	afract	taxopath
0.8306	0.0002117	0.8306	0.0002117	Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Garciella;Garciella nitratireducens
0.4137	0.0001054	2.062	0.0005257	Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Acetobacterium
0.5625	0.0001434	0.5625	0.0001434	Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Acetobacterium;Acetobacterium malicum
0.1002	2.554e-05	0.1002	2.554e-05	Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Acetobacterium;Acetobacterium bakii
0.5578	0.0001422	0.5578	0.0001422	Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Acetobacterium;Acetobacterium tundrae
0.1427	3.638e-05	0.1427	3.638e-05	Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Acetobacterium;Acetobacterium carbinolicum
0.1427	3.638e-05	0.1427	3.638e-05	Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Acetobacterium;Acetobacterium paludosum
0.1426	3.634e-05	0.1426	3.634e-05	Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Acetobacterium;Acetobacterium woodii
6.699	0.001708	24.59	0.006268	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae
0	0	0.8159	0.000208	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Dehalobacter
0.8159	0.000208	0.8159	0.000208	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Dehalobacter;Dehalobacter restrictus
0	0	2.01	0.0005122	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Syntrophobotulus
2.01	0.0005122	2.01	0.0005122	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Syntrophobotulus;Syntrophobotulus glycolicus
0.7058	0.0001799	1.183	0.0003014	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Desulfitobacterium
0.1853	4.722e-05	0.1853	4.722e-05	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Desulfitobacterium;Desulfitobacterium aromaticivorans
0.1436	3.66e-05	0.1436	3.66e-05	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Desulfitobacterium;Desulfitobacterium dehalogenans
0.1478	3.768e-05	0.1478	3.768e-05	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Desulfitobacterium;Desulfitobacterium metallireducens
0.8319	0.000212	2.065	0.0005264	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Desulfosporosinus
0.5298	0.000135	0.5298	0.000135	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Desulfosporosinus;Desulfosporosinus burensis
0.1006	2.563e-05	0.1006	2.563e-05	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Desulfosporosinus;Desulfosporosinus lacus
0.2392	6.098e-05	0.2392	6.098e-05	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Desulfosporosinus;Desulfosporosinus youngiae
0.1775	4.526e-05	0.1775	4.526e-05	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Desulfosporosinus;Desulfosporosinus hippei
0.07228	1.842e-05	0.07228	1.842e-05	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Desulfosporosinus;Desulfosporosinus orientis
0.004834	1.232e-06	0.004834	1.232e-06	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Desulfosporosinus;Desulfosporosinus sp. M1
0.1089	2.777e-05	0.1089	2.777e-05	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Desulfosporosinus;Desulfosporosinus auripigmenti
0.0002364	6.027e-08	0.5276	0.0001345	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Pelotomaculum
0.2855	7.278e-05	0.2855	7.278e-05	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Pelotomaculum;Pelotomaculum thermopropionicum
0.2419	6.166e-05	0.2419	6.166e-05	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Pelotomaculum;Pelotomaculum isophthalicicum
7.375	0.00188	9.85	0.002511	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Desulfotomaculum
