	Kingdom	Kingdom confidence	Phylum	Phylum confidence	Class	Class confidence	Order	Order confidence	Family	Family confidence	Genus	Genus confidence
Otu106	Bacteria	100	Firmicutes	70	Clostridia	70	Clostridiales	70	Ruminococcaceae	52	Lawsonibacter	19.0
Otu165	Bacteria	100	Proteobacteria	100	Gammaproteobacteria	100	Enterobacterales	100	Enterobacteriaceae	74	Franconibacter	61.0
Otu134	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Ruminococcus2	36.0
Otu248	Bacteria	100	Bacteroidetes	100	Bacteroidia	100	Bacteroidales	100	Muribaculaceae	84	Muribaculum	70.0
Otu259	Bacteria	100	Firmicutes	83	Clostridia	77	Clostridiales	76	Clostridiales_incertae_sedis	33	Marinisporobacter	32.0
Otu237	Bacteria	100	Bacteroidetes	100	Bacteroidia	100	Bacteroidales	100	Prevotellaceae	100	Prevotellamassilia	65.0
Otu183	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Clostridium XlVa	43.0
Otu274	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Hungatella	31.0
Otu179	Bacteria	98	Firmicutes	59	Erysipelotrichia	38	Erysipelotrichales	38	Erysipelotrichaceae	38	Holdemania	23.0
Otu97	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	99	Clostridium XlVa	18.0
Otu160	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	98	Flintibacter	51.0
Otu205	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Peptostreptococcaceae	100	Paraclostridium	100.0
Otu61	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	100	Phocea	52.0
Otu246	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Hungatella	9.0
Otu285	Bacteria	100	Verrucomicrobia	100	Verrucomicrobiae	100	Verrucomicrobiales	100	Akkermansiaceae	100	Akkermansia	100.0
Otu125	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	100	Dysosmobacter	99.0
Otu7	Bacteria	100	Firmicutes	99	Clostridia	99	Clostridiales	99	Lachnospiraceae	99	Clostridium XlVa	59.0
Otu142	Bacteria	100	Firmicutes	100	Clostridia	99	Clostridiales	99	Lachnospiraceae	99	Agathobacter	28.0
Otu281	Bacteria	100	Firmicutes	83	Clostridia	52	Clostridiales	52	Clostridiales_Incertae Sedis XII	24	Guggenheimella	24.0
Otu265	Bacteria	100	Actinobacteria	100	Actinobacteria	100	Propionibacteriales	99	Nocardioidaceae	99	Nocardioides	47.0
Otu231	Bacteria	100	Bacteroidetes	100	Bacteroidia	100	Bacteroidales	100	Muribaculaceae	100	Paramuribaculum	100.0
Otu86	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	100	Phocea	48.0
Otu119	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	99	Murimonas	29.0
Otu283	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	100	Flintibacter	64.0
Otu53	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Sellimonas	27.0
Otu199	Bacteria	100	Firmicutes	99	Clostridia	99	Clostridiales	98	Ruminococcaceae	95	Tepidibaculum	49.0
Otu272	Bacteria	100	Bacteroidetes	100	Bacteroidia	100	Bacteroidales	100	Rikenellaceae	100	Alistipes	100.0
Otu140	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	99	Cuneatibacter	17.0
Otu72	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	99	Ruminococcus2	53.0
Otu210	Bacteria	100	Firmicutes	82	Clostridia	79	Clostridiales	78	Clostridiales_Incertae Sedis XIII	18	Ihubacter	11.0
Otu266	Bacteria	100	Bacteroidetes	100	Bacteroidia	100	Bacteroidales	100	Barnesiellaceae	55	Coprobacter	45.0
Otu292	Bacteria	100	Bacteroidetes	100	Bacteroidia	100	Bacteroidales	100	Muribaculaceae	100	Duncaniella	100.0
Otu238	Bacteria	100	Firmicutes	97	Clostridia	94	Clostridiales	93	Lachnospiraceae	45	Stomatobaculum	23.0
Otu275	Bacteria	100	Bacteroidetes	100	Bacteroidia	100	Bacteroidales	100	Muribaculaceae	100	Muribaculum	90.0
Otu282	Bacteria	100	Bacteroidetes	100	Bacteroidia	100	Bacteroidales	100	Muribaculaceae	98	Muribaculum	89.0
Otu294	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Acetatifactor	83.0
